chicken,egg
468491,3581
449743,3532
436815,3327
444523,3255
433937,3156
389958,3081
403446,3166
423921,3443
389624,3424
418591,3561
438288,3640
422841,3840
476935,4456
542047,5000
582197,5366
516497,5154
523227,5130
467217,5077
499644,5032
430876,5148
456549,5404
430988,5322
426555,5323
398156,5307
396776,5402
390708,5407
383690,5500
391363,5442
374281,5442
387002,5542
369484,5339
366082,5358
377392,5403
375575,5345
382262,5435
394118,5474
393019,5540
428746,5836
425158,5777
422096,5629
433280,5704
421763,5806
404191,5742
408769,5502
394101,5461
379754,5382
378361,5377
386518,5408
396933,5608
400585,5777
392110,5825
384838,5625
378609,5800
364584,5656
