chick_nm,weight,egg_weight,movement,food
a01,140,65,146,14
a02,128,62,153,12
a03,140,65,118,13
a04,135,65,157,13
a05,145,69,157,13
a06,138,65,143,13
a07,125,61,110,11
a08,148,69,159,15
a09,133,64,133,11
a10,145,69,174,13
a11,143,67,120,13
a12,130,61,109,12
a13,133,62,127,12
a14,143,67,131,13
a15,145,69,128,15
a16,128,61,102,11
a17,148,70,148,15
a18,125,61,125,10
a19,145,67,116,15
a20,148,69,130,14
a21,128,61,107,11
a22,133,64,143,12
a23,138,66,160,12
a24,143,67,165,13
a25,140,65,168,14
a26,138,66,165,13
a27,135,65,124,12
a28,140,66,112,13
a29,133,62,154,12
a30,135,63,146,12
