,Variable,Return on Investment,Account Type
0,Campaign_Flyer,$4.1,Medium Facility
1,Sales_Contact_2,$3.6,Medium Facility
2,Sales_Contact_1,$3.1,Medium Facility
3,Sales_Contact_3,$2.1,Medium Facility
4,Sales_Contact_2,$6.6,Private Facility
5,Sales_Contact_2,$0.8,Small Facility 
6,Campaign_Phone,$0.0,Small Facility 
7,Sales_Contact_1,$11.7,Large Facility 
8,Sales_Contact_4,$10.6,Large Facility 
9,Sales_Contact_2,$4.0,Large Facility 
10,Campaign_Flyer,$2.7,Large Facility 
11,Sales_Contact_3,$2.0,Large Facility 
12,Campaign_Phone,$-3.5,Large Facility 
